InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Region
578844,21317,GLASS SPHERE CANDLE STAND MEDIUM,4,2011-11-25 16:14:00,10.79,,United Kingdom,Europe
572669,22416,SET OF 36 SPACEBOY PAPER DOILIES,1,2011-10-25 13:10:00,1.45,16549.0,United Kingdom,Europe
553504,47590B,PINK HAPPY BIRTHDAY BUNTING,3,2011-05-17 13:26:00,5.45,13310.0,United Kingdom,Europe
565117,84879,ASSORTED COLOUR BIRD ORNAMENT,40,2011-09-01 11:33:00,1.69,13089.0,United Kingdom,Europe
566422,82483,WOOD 2 DRAWER CABINET WHITE FINISH,4,2011-09-12 13:56:00,6.95,13064.0,United Kingdom,Europe
536593,22366,DOORMAT AIRMAIL ,2,2010-12-01 17:15:00,7.95,16835.0,United Kingdom,Europe
578041,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,3,2011-11-22 14:23:00,4.25,17338.0,United Kingdom,Europe
553525,21385,IVORY HANGING DECORATION  HEART,24,2011-05-17 14:50:00,0.85,16266.0,United Kingdom,Europe
548728,22367,CHILDRENS APRON SPACEBOY DESIGN,8,2011-04-04 09:55:00,1.95,13198.0,United Kingdom,Europe
551660,23148,MINIATURE ANTIQUE ROSE HOOK IVORY,12,2011-05-03 12:16:00,0.83,15271.0,United Kingdom,Europe
555383,21731,RED TOADSTOOL LED NIGHT LIGHT,5,2011-06-02 15:13:00,1.65,12517.0,Germany,Europe
578998,21810,CHRISTMAS HANGING STAR WITH BELL,1,2011-11-27 16:05:00,0.39,15436.0,United Kingdom,Europe
579777,21877,HOME SWEET HOME MUG,1,2011-11-30 15:13:00,3.29,,United Kingdom,Europe
557233,22561,WOODEN SCHOOL COLOURING SET,3,2011-06-17 14:44:00,1.65,15356.0,United Kingdom,Europe
555924,85131B,BEADED CRYSTAL HEART GREEN ON STICK,5,2011-06-07 17:12:00,0.83,,United Kingdom,Europe
558232,21927,BLUE/CREAM STRIPE CUSHION COVER ,2,2011-06-27 14:30:00,1.25,17841.0,United Kingdom,Europe
543021,22352,LUNCH BOX WITH CUTLERY RETROSPOT ,6,2011-02-02 14:36:00,2.55,15421.0,United Kingdom,Europe
575070,23427,STOOL HOME SWEET HOME ,2,2011-11-08 12:58:00,12.5,17841.0,United Kingdom,Europe
544322,79000,MOROCCAN TEA GLASS,24,2011-02-17 15:50:00,0.85,14211.0,United Kingdom,Europe
570019,23501,KEY RING BASEBALL BOOT UNION JACK,1,2011-10-07 10:13:00,1.25,17841.0,United Kingdom,Europe
553900,22890,NOVELTY BISCUITS CAKE STAND 3 TIER,4,2011-05-19 17:47:00,9.95,12353.0,Bahrain,
579619,21174,POTTERING IN THE SHED METAL SIGN,12,2011-11-30 12:10:00,2.08,18241.0,United Kingdom,Europe
559200,84375,SET OF 20 KIDS COOKIE CUTTERS,1,2011-07-07 10:36:00,2.1,13291.0,United Kingdom,Europe
540464,84792,ENCHANTED BIRD COATHANGER 5 HOOK,8,2011-01-07 13:17:00,3.81,14298.0,United Kingdom,Europe
548336,15036,ASSORTED COLOURS SILK FAN,600,2011-03-30 14:06:00,0.65,13082.0,United Kingdom,Europe
574257,72818,,-3,2011-11-03 13:46:00,0.0,,United Kingdom,Europe
575051,21623,VINTAGE UNION JACK MEMOBOARD,2,2011-11-08 12:14:00,9.95,15957.0,United Kingdom,Europe
568095,90201B,BLACK ENAMEL FLOWER RING,6,2011-09-23 14:49:00,2.95,14911.0,EIRE,Europe
544646,71038,WHITE HANGING BEADS CANDLE HOLDER,4,2011-02-22 12:06:00,5.45,17075.0,United Kingdom,Europe
580610,85049e,SCANDINAVIAN REDS RIBBONS,2,2011-12-05 11:48:00,3.29,,United Kingdom,Europe
542112,22423,REGENCY CAKESTAND 3 TIER,2,2011-01-25 13:55:00,12.75,13168.0,United Kingdom,Europe
566203,84946,ANTIQUE SILVER T-LIGHT GLASS,12,2011-09-09 14:47:00,1.25,16362.0,United Kingdom,Europe
578290,22670,FRENCH WC SIGN BLUE METAL,12,2011-11-23 14:07:00,1.25,13644.0,United Kingdom,Europe
547202,22652,TRAVEL SEWING KIT,1,2011-03-21 13:38:00,1.65,17841.0,United Kingdom,Europe
550496,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,12,2011-04-18 15:05:00,1.8,,United Kingdom,Europe
540114,84030E,ENGLISH ROSE HOT WATER BOTTLE,8,2011-01-05 09:44:00,4.25,15498.0,United Kingdom,Europe
573909,22913,RED COAT RACK PARIS FASHION,1,2011-11-01 15:26:00,4.95,17813.0,United Kingdom,Europe
576611,23084,RABBIT NIGHT LIGHT,10,2011-11-15 16:29:00,2.08,17357.0,United Kingdom,Europe
538658,84360,TABLE LAMP WHITE SHADE WOOD BASE,2,2010-12-13 15:34:00,5.95,17969.0,United Kingdom,Europe
541181,22502,PICNIC BASKET WICKER SMALL,16,2011-01-14 11:50:00,4.95,12877.0,United Kingdom,Europe
577498,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,1,2011-11-20 12:22:00,3.75,15906.0,United Kingdom,Europe
549682,22923,FRIDGE MAGNETS LES ENFANTS ASSORTED,12,2011-04-11 13:22:00,0.85,12596.0,Spain,Europe
546396,72349B,SET/6 PURPLE BUTTERFLY T-LIGHTS,4,2011-03-11 14:35:00,2.1,13226.0,United Kingdom,Europe
567959,23205,CHARLOTTE BAG VINTAGE ALPHABET ,20,2011-09-23 09:13:00,0.85,12516.0,Germany,Europe
